content_id,content_type,locale,slug,route,title,approval_state,publication_state,visibility,translation_state
education.ba.interior-architecture.fa,education,fa,ba-interior-architecture,/about/education,کارشناسی معماری داخلی,needs-owner-input,draft,public,approved
experience.mci.en,experience,en,software-engineer-mci,/about/experience,Software Engineer — Mobile Communication Company of Iran (MCI),needs-owner-input,draft,public,approved
experience.mci.fa,experience,fa,software-engineer-mci,/about/experience,مهندس نرم‌افزار — همراه اول,needs-owner-input,draft,public,approved
experience.naeo.en,experience,en,researcher-dashboard-product-designer,/about/experience,Researcher & Dashboard Product Designer — National Administrative and Employment Organization of Iran,needs-owner-input,draft,public,approved
experience.naeo.fa,experience,fa,researcher-dashboard-product-designer,/about/experience,پژوهشگر و طراح محصول داشبورد — سازمان اداری و استخدامی کشور,needs-owner-input,draft,public,approved
experience.shaparak.en,experience,en,full-stack-shaparak,/about/experience,Full-Stack Developer — Shaparak Electronic Card Payment Network System,needs-owner-input,draft,public,approved
experience.shaparak.fa,experience,fa,full-stack-shaparak,/about/experience,توسعه‌دهنده فول‌استک — شاپرک,needs-owner-input,draft,public,approved
experience.sajaya.en,experience,en,full-stack-uiux-sajaya,/about/experience,Full-Stack Developer & UI/UX Consultant — Sajaya Negar,needs-owner-input,draft,public,approved
experience.sajaya.fa,experience,fa,full-stack-uiux-sajaya,/about/experience,توسعه‌دهنده فول‌استک و مشاور UI/UX — سجایا نگار,needs-owner-input,draft,public,approved
learning.stanford-health-ai.en,credential,en,stanford-ai-healthcare,/learning,Stanford Medicine AI in Healthcare Series,needs-owner-input,draft,public,approved
learning.stanford-health-ai.fa,credential,fa,stanford-ai-healthcare,/learning,مجموعه هوش مصنوعی در سلامت Stanford Medicine,needs-owner-input,draft,public,approved
learning.partial-ml-dl-genai.en,credential,en,partial-ml-dl-genai,/learning,Additional Structured Coursework,needs-owner-input,draft,public,not-needed
availability.phd-2027.en,availability,en,phd-research-2027,/contact,2027 Research Availability,needs-owner-input,draft,public,approved
availability.phd-2027.fa,availability,fa,phd-research-2027,/contact,آمادگی برای فرصت‌های پژوهشی ۲۰۲۷,needs-owner-input,draft,public,approved
contact.email,contact_link,und,email,/contact,Email,needs-owner-input,draft,public,not-needed
contact.linkedin,contact_link,und,linkedin,/contact,LinkedIn,needs-owner-input,draft,public,not-needed
contact.github,contact_link,und,github,/contact,GitHub,needs-owner-input,draft,public,not-needed
contact.orcid,contact_link,und,orcid,/contact,ORCID,needs-owner-input,draft,public,not-needed
contact.website,contact_link,und,website,/contact,Website,needs-owner-input,draft,public,not-needed
route.home.en,route_copy,en,home,/,Home,needs-owner-input,draft,public,approved
route.home.fa,route_copy,fa,home,/,خانه,needs-owner-input,draft,public,approved
route.about.en,route_copy,en,about,/about,About,needs-owner-input,draft,public,approved
route.about.fa,route_copy,fa,about,/about,درباره,needs-owner-input,draft,public,approved
route.research.en,route_copy,en,research,/research,Research,needs-owner-input,draft,public,approved
route.research.fa,route_copy,fa,research,/research,پژوهش,needs-owner-input,draft,public,approved
route.projects.en,route_copy,en,projects,/projects,Projects,needs-owner-input,draft,public,approved
route.projects.fa,route_copy,fa,projects,/projects,پروژه‌ها,needs-owner-input,draft,public,approved
route.writing.en,route_copy,en,writing,/writing,Writing,needs-owner-input,draft,public,approved
route.writing.fa,route_copy,fa,writing,/writing,نوشتار,needs-owner-input,draft,public,approved
route.publications.en,route_copy,en,publications,/publications,Research Outputs,needs-owner-input,draft,public,approved
route.publications.fa,route_copy,fa,publications,/publications,خروجی‌های پژوهشی,needs-owner-input,draft,public,approved
route.learning.en,route_copy,en,learning,/learning,Learning,needs-owner-input,draft,public,approved
route.learning.fa,route_copy,fa,learning,/learning,یادگیری,needs-owner-input,draft,public,approved
route.creative.en,route_copy,en,creative,/creative,Creative Work,needs-owner-input,draft,public,approved
route.creative.fa,route_copy,fa,creative,/creative,آثار خلاقه,needs-owner-input,draft,public,approved
route.cv.en,route_copy,en,cv,/cv,CV,needs-owner-input,draft,public,approved
route.cv.fa,route_copy,fa,cv,/cv,رزومه,needs-owner-input,draft,public,approved
route.contact.en,route_copy,en,contact,/contact,Contact,needs-owner-input,draft,public,approved
route.contact.fa,route_copy,fa,contact,/contact,تماس,needs-owner-input,draft,public,approved
